is_same,distance,approach
False,769.4505567814671,after-conv13-dist2
False,930.191835146971,after-conv13-dist2
False,902.4426361801691,after-conv13-dist2
False,925.6317608514248,after-conv13-dist2
False,936.3822249974871,after-conv13-dist2
False,723.3628706395019,after-conv13-dist2
False,707.5916502401261,after-conv13-dist2
False,880.1863114798076,after-conv13-dist2
False,551.2599795709199,after-conv13-dist2
False,683.6660873144657,after-conv13-dist2
False,1047.7634595239117,after-conv13-dist2
False,766.4097111970203,after-conv13-dist2
False,957.4907270786828,after-conv13-dist2
False,750.0503433515548,after-conv13-dist2
False,693.6523277583257,after-conv13-dist2
False,1009.625510348714,after-conv13-dist2
False,778.0915961118146,after-conv13-dist2
False,736.9816939860456,after-conv13-dist2
False,995.8365751007993,after-conv13-dist2
False,929.4492713499139,after-conv13-dist2
False,777.9999571183841,after-conv13-dist2
False,1051.7951207854455,after-conv13-dist2
False,1067.109249582399,after-conv13-dist2
False,856.236892289487,after-conv13-dist2
False,684.5725487806008,after-conv13-dist2
False,700.009015196069,after-conv13-dist2
False,817.5655919341152,after-conv13-dist2
False,1002.644370652283,after-conv13-dist2
False,680.1831454038572,after-conv13-dist2
False,862.4208151440938,after-conv13-dist2
False,583.6194127330398,after-conv13-dist2
False,965.1038296683374,after-conv13-dist2
False,971.6614549749756,after-conv13-dist2
False,744.1603436553444,after-conv13-dist2
False,890.7744630894143,after-conv13-dist2
False,714.9743509232245,after-conv13-dist2
False,839.8736691885819,after-conv13-dist2
False,968.5308714546147,after-conv13-dist2
False,845.3049766041113,after-conv13-dist2
False,792.3429297604976,after-conv13-dist2
True,744.5975841527352,after-conv13-dist2
False,839.8303646628476,after-conv13-dist2
False,717.6643668546052,after-conv13-dist2
False,892.7531739980727,after-conv13-dist2
False,746.3766280351159,after-conv13-dist2
False,1077.6104752808824,after-conv13-dist2
False,782.5844451021933,after-conv13-dist2
False,770.4649735356202,after-conv13-dist2
False,680.174434693638,after-conv13-dist2
False,888.3677498815389,after-conv13-dist2
False,1030.4670298261228,after-conv13-dist2
False,781.582937358973,after-conv13-dist2
False,682.8694056678487,after-conv13-dist2
False,734.013945353452,after-conv13-dist2
False,751.3706275371874,after-conv13-dist2
False,850.5185497241223,after-conv13-dist2
False,752.4077836432958,after-conv13-dist2
False,760.4329279013006,after-conv13-dist2
False,798.503507097904,after-conv13-dist2
False,800.1741102901144,after-conv13-dist2
False,778.33823261613,after-conv13-dist2
False,696.3783785550922,after-conv13-dist2
False,764.2670738395601,after-conv13-dist2
False,945.8068239124532,after-conv13-dist2
False,936.0214411876702,after-conv13-dist2
False,878.6457660947982,after-conv13-dist2
False,621.6670386023513,after-conv13-dist2
False,955.1741991377485,after-conv13-dist2
False,762.7675754834836,after-conv13-dist2
False,926.0468194540065,after-conv13-dist2
False,836.3734673725902,after-conv13-dist2
False,815.9487280873184,after-conv13-dist2
False,886.8643442128539,after-conv13-dist2
False,942.131151519843,after-conv13-dist2
False,654.2229203389525,after-conv13-dist2
False,849.0967288144194,after-conv13-dist2
False,746.5159863129586,after-conv13-dist2
False,877.0454895740759,after-conv13-dist2
False,1102.6229169837306,after-conv13-dist2
False,684.2730960449618,after-conv13-dist2
False,791.7235352687344,after-conv13-dist2
False,825.1138915697948,after-conv13-dist2
False,638.3710280319083,after-conv13-dist2
False,742.9929855190419,after-conv13-dist2
False,803.6674738908976,after-conv13-dist2
False,762.5355248132074,after-conv13-dist2
False,855.080621975741,after-conv13-dist2
False,920.8656536027546,after-conv13-dist2
False,881.415132059638,after-conv13-dist2
False,718.2167879886822,after-conv13-dist2
False,756.302406286852,after-conv13-dist2
False,738.4756427506178,after-conv13-dist2
False,783.6661813995036,after-conv13-dist2
False,909.365830280386,after-conv13-dist2
False,969.1499887859327,after-conv13-dist2
False,935.6517523759898,after-conv13-dist2
False,867.1939990118849,after-conv13-dist2
False,933.555209040993,after-conv13-dist2
False,817.1764913971582,after-conv13-dist2
False,1092.384478890774,after-conv13-dist2
False,855.869208534787,after-conv13-dist2
False,870.976504283243,after-conv13-dist2
False,653.8626400750492,after-conv13-dist2
False,906.6612705776862,after-conv13-dist2
False,740.9543134730961,after-conv13-dist2
False,724.6375389178477,after-conv13-dist2
False,915.4332676124204,after-conv13-dist2
False,742.6549668617515,after-conv13-dist2
False,910.407727441295,after-conv13-dist2
False,760.6827150650188,after-conv13-dist2
False,985.6939014596194,after-conv13-dist2
False,655.6509154284348,after-conv13-dist2
False,750.0847016057888,after-conv13-dist2
False,934.8245115661055,after-conv13-dist2
False,553.6109482984687,after-conv13-dist2
False,882.6431219353731,after-conv13-dist2
False,1057.5391784759818,after-conv13-dist2
False,788.2591731327233,after-conv13-dist2
False,844.6856325203585,after-conv13-dist2
False,832.8849480674479,after-conv13-dist2
False,783.0929828409211,after-conv13-dist2
False,826.548983938294,after-conv13-dist2
False,744.4905581848963,after-conv13-dist2
False,933.3123620755948,after-conv13-dist2
False,857.0864123184671,after-conv13-dist2
False,870.5751987254272,after-conv13-dist2
False,814.3918126029137,after-conv13-dist2
False,942.8805275045311,after-conv13-dist2
False,987.1827338886694,after-conv13-dist2
False,569.9066950865306,after-conv13-dist2
False,952.3933054932432,after-conv13-dist2
False,767.2887810053496,after-conv13-dist2
False,847.7651113324125,after-conv13-dist2
False,791.3141792239217,after-conv13-dist2
False,826.2921913336259,after-conv13-dist2
False,792.9398773587955,after-conv13-dist2
False,790.4278214494436,after-conv13-dist2
False,827.9644066103012,after-conv13-dist2
False,755.9866294962547,after-conv13-dist2
False,781.6641156267015,after-conv13-dist2
False,913.2505294773257,after-conv13-dist2
False,772.2280586144562,after-conv13-dist2
False,1002.1688571761473,after-conv13-dist2
False,787.0021078785867,after-conv13-dist2
False,824.9318503826953,after-conv13-dist2
False,871.7326569430488,after-conv13-dist2
False,753.8542094568693,after-conv13-dist2
False,974.1709073524145,after-conv13-dist2
False,871.3050134668018,after-conv13-dist2
False,866.2027215098811,after-conv13-dist2
False,869.8026925266226,after-conv13-dist2
False,1005.3946778749518,after-conv13-dist2
False,694.5679670464903,after-conv13-dist2
False,881.5205883447763,after-conv13-dist2
False,705.5699168682593,after-conv13-dist2
False,950.1403421231045,after-conv13-dist2
False,792.2048896105769,after-conv13-dist2
False,1049.5461887318913,after-conv13-dist2
False,590.6854117567832,after-conv13-dist2
False,849.8486285148794,after-conv13-dist2
False,842.3982435462116,after-conv13-dist2
False,708.5325915445,after-conv13-dist2
False,690.7910521316458,after-conv13-dist2
False,854.785132340606,after-conv13-dist2
False,855.2411778962284,after-conv13-dist2
False,954.8037880754669,after-conv13-dist2
False,921.0170299386555,after-conv13-dist2
False,848.9254428675331,after-conv13-dist2
False,1039.4622886139123,after-conv13-dist2
False,869.4389097294714,after-conv13-dist2
False,1035.8167720202398,after-conv13-dist2
False,1002.2932803154752,after-conv13-dist2
False,740.7357396025521,after-conv13-dist2
False,845.8481842631952,after-conv13-dist2
False,954.5676270316144,after-conv13-dist2
False,768.6308971114503,after-conv13-dist2
False,751.6423212765403,after-conv13-dist2
False,926.4624109695809,after-conv13-dist2
False,737.6351794823458,after-conv13-dist2
False,840.9087066175524,after-conv13-dist2
False,681.9197716658998,after-conv13-dist2
False,850.9680055291192,after-conv13-dist2
False,879.791490950585,after-conv13-dist2
False,930.9567889911946,after-conv13-dist2
False,936.9063793949547,after-conv13-dist2
False,683.1592470267713,after-conv13-dist2
False,914.5210793644637,after-conv13-dist2
False,955.7087445640609,after-conv13-dist2
False,785.7771735676868,after-conv13-dist2
False,757.7756874725407,after-conv13-dist2
False,765.1493849640508,after-conv13-dist2
False,861.1577915396919,after-conv13-dist2
False,1018.7303271761439,after-conv13-dist2
False,854.0956223957912,after-conv13-dist2
False,1179.8416239315338,after-conv13-dist2
False,1121.8522652510103,after-conv13-dist2
False,727.7615246703425,after-conv13-dist2
False,898.2722696349867,after-conv13-dist2
False,667.2405759686693,after-conv13-dist2
False,675.9094900307525,after-conv13-dist2
False,933.1483588962008,after-conv13-dist2
False,1125.2142566479627,after-conv13-dist2
False,913.927335639551,after-conv13-dist2
False,933.275762545788,after-conv13-dist2
False,769.4918857289457,after-conv13-dist2
False,800.7734315399549,after-conv13-dist2
