epoch,subset,total_cases,rank1,rank2,rank5,rank
0,train,272,6,48,67,118
0,test,75,3,9,16,28
5,train,272,74,86,103,133
5,test,75,14,14,21,26
10,train,272,134,144,156,170
10,test,75,8,11,19,26
15,train,272,170,179,200,211
15,test,75,7,10,22,29
20,train,272,200,212,218,231
20,test,75,9,12,18,22
25,train,272,228,234,239,246
25,test,75,10,15,20,25
30,train,272,248,251,256,258
30,test,75,8,14,19,24
35,train,272,258,262,264,267
35,test,75,10,14,20,23
40,train,272,260,265,269,271
40,test,75,10,14,19,23
45,train,272,268,272,272,272
45,test,75,6,11,17,25
50,train,272,272,272,272,272
50,test,75,8,14,17,21
55,train,272,272,272,272,272
55,test,75,8,12,17,20
60,train,272,272,272,272,272
60,test,75,6,10,17,22
65,train,272,272,272,272,272
65,test,75,6,9,18,20
0,train,272,67,82,121,149
0,test,75,8,9,18,21
5,train,272,106,133,168,188
5,test,75,9,11,23,30
10,train,272,141,166,200,227
10,test,75,9,13,21,29
15,train,272,147,180,213,232
15,test,75,9,12,22,32
20,train,272,165,202,230,241
20,test,75,7,14,21,28
25,train,272,185,214,244,257
25,test,75,13,15,20,28
30,train,272,191,218,238,249
30,test,75,12,14,22,30
35,train,272,200,227,247,256
35,test,75,7,15,20,30
40,train,272,208,233,255,262
40,test,75,9,15,26,33
45,train,272,209,227,249,259
45,test,75,11,16,25,34
50,train,272,232,249,263,266
50,test,75,13,15,24,34
55,train,272,236,249,262,268
55,test,75,10,19,28,37
60,train,272,230,252,262,266
60,test,75,13,19,28,35
65,train,272,241,256,264,268
65,test,75,12,20,28,38
70,train,272,227,243,257,264
70,test,75,14,28,35,40
75,train,272,242,257,264,268
75,test,75,16,25,31,36
80,train,272,232,247,262,270
80,test,75,14,25,35,41
85,train,272,242,258,264,271
85,test,75,16,24,34,40
90,train,272,251,259,267,272
90,test,75,18,26,32,42
95,train,272,253,263,268,269
95,test,75,15,23,36,41
100,train,272,249,266,270,271
100,test,75,18,27,32,38
105,train,272,250,262,267,270
105,test,75,19,25,34,43
110,train,272,253,263,267,270
110,test,75,25,30,41,45
115,train,272,253,260,268,272
115,test,75,20,26,33,41
120,train,272,257,264,269,272
120,test,75,15,28,37,43
125,train,272,255,265,269,270
125,test,75,16,29,34,43
0,train,272,155,187,217,236
0,test,75,18,28,35,43
5,train,272,189,215,241,252
5,test,75,25,30,36,44
10,train,272,200,234,255,265
10,test,75,25,33,40,48
15,train,272,206,228,257,266
15,test,75,29,32,38,44
20,train,272,220,240,252,263
20,test,75,27,35,38,44
25,train,272,207,239,258,267
25,test,75,30,35,42,45
30,train,272,233,252,261,267
30,test,75,22,30,39,46
35,train,272,224,243,261,267
35,test,75,30,35,39,52
40,train,272,224,244,262,268
40,test,75,26,36,42,47
45,train,272,227,250,262,267
45,test,75,23,34,44,50
50,train,272,241,261,269,271
50,test,75,26,34,42,51
55,train,272,240,256,269,271
55,test,75,28,34,43,50
60,train,272,243,261,266,269
60,test,75,29,33,41,48
65,train,272,240,251,264,270
65,test,75,27,36,44,51
70,train,272,244,258,264,268
70,test,75,33,39,44,52
75,train,272,245,260,269,271
75,test,75,31,37,46,52
80,train,272,233,253,263,270
80,test,75,31,39,44,51
85,train,272,251,260,266,271
85,test,75,37,41,46,53
90,train,272,255,261,269,269
90,test,75,33,38,47,51
95,train,272,254,267,270,271
95,test,75,31,36,44,52
100,train,272,250,261,269,270
100,test,75,33,40,46,50
105,train,272,255,265,269,271
105,test,75,29,36,46,52
110,train,272,254,267,271,272
110,test,75,33,38,46,52
115,train,272,253,267,271,272
115,test,75,32,42,50,53
120,train,272,253,263,271,271
120,test,75,33,39,45,52
125,train,272,253,261,267,270
125,test,75,34,41,49,54
130,train,272,256,265,270,271
130,test,75,29,39,48,54
135,train,272,253,264,269,271
135,test,75,32,38,46,53
140,train,272,255,266,271,271
140,test,75,34,42,47,54
145,train,272,251,263,269,272
145,test,75,38,41,52,55
150,train,272,259,268,272,272
150,test,75,32,40,51,55
155,train,272,257,266,270,271
155,test,75,34,43,49,56
160,train,272,252,268,271,271
160,test,75,31,38,45,53
0,train,272,255,263,270,271
0,test,75,32,40,47,52
5,train,272,251,261,267,271
5,test,75,30,39,46,56
10,train,272,262,268,270,271
10,test,75,31,38,48,55
15,train,272,259,268,270,271
15,test,75,31,40,48,57
20,train,272,256,265,268,269
20,test,75,35,37,51,55
25,train,272,258,268,272,272
25,test,75,31,40,49,53
0,train,272,233,252,263,268
0,test,75,32,43,50,53
5,train,272,220,244,260,265
5,test,75,32,40,47,55
10,train,272,234,259,269,269
10,test,75,32,38,49,53
15,train,272,226,253,269,270
15,test,75,37,42,51,56
20,train,272,216,237,259,267
20,test,75,36,42,50,58
25,train,272,225,252,266,270
25,test,75,37,43,54,61
30,train,272,226,250,265,268
30,test,75,39,44,52,60
35,train,272,234,249,261,267
35,test,75,37,44,54,58
40,train,272,230,250,266,267
40,test,75,37,42,51,57
45,train,272,224,249,269,270
45,test,75,35,40,51,55
50,train,272,239,266,271,271
50,test,75,39,47,52,57
55,train,272,231,252,267,271
55,test,75,38,44,52,60
60,train,272,236,254,264,269
60,test,75,32,40,52,56
65,train,272,241,260,271,272
65,test,75,37,45,48,56
0,train,272,269,271,272,272
0,test,75,34,44,49,56
5,train,272,269,272,272,272
5,test,75,39,44,51,55
10,train,272,272,272,272,272
10,test,75,40,45,53,57
15,train,272,272,272,272,272
15,test,75,42,46,53,58
20,train,272,272,272,272,272
20,test,75,40,43,50,56
0,train,272,260,267,271,271
0,test,75,38,44,52,57
5,train,272,260,268,271,272
5,test,75,36,44,50,55
10,train,272,266,271,272,272
10,test,75,38,41,51,58
15,train,272,263,269,272,272
15,test,75,41,43,48,54
20,train,272,257,267,270,272
20,test,75,36,41,47,54
25,train,272,262,266,269,272
25,test,75,34,40,49,54
30,train,272,258,269,272,272
30,test,75,38,43,50,57
0,train,272,225,256,265,271
0,test,75,38,40,47,53
