rank,count,frequency,subset
1,271,0.9818840579710145,train
2,272,0.9855072463768116,train
3,272,0.9855072463768116,train
4,272,0.9855072463768116,train
5,272,0.9855072463768116,train
6,272,0.9855072463768116,train
7,272,0.9855072463768116,train
8,272,0.9855072463768116,train
9,272,0.9855072463768116,train
10,272,0.9855072463768116,train
11,272,0.9855072463768116,train
12,272,0.9855072463768116,train
13,272,0.9855072463768116,train
14,272,0.9855072463768116,train
15,272,0.9855072463768116,train
16,272,0.9855072463768116,train
17,272,0.9855072463768116,train
18,272,0.9855072463768116,train
19,272,0.9855072463768116,train
20,272,0.9855072463768116,train
21,272,0.9855072463768116,train
22,272,0.9855072463768116,train
23,272,0.9855072463768116,train
24,272,0.9855072463768116,train
25,272,0.9855072463768116,train
26,272,0.9855072463768116,train
27,272,0.9855072463768116,train
28,272,0.9855072463768116,train
29,272,0.9855072463768116,train
30,272,0.9855072463768116,train
31,272,0.9855072463768116,train
32,272,0.9855072463768116,train
33,272,0.9855072463768116,train
34,272,0.9855072463768116,train
35,272,0.9855072463768116,train
36,272,0.9855072463768116,train
37,272,0.9855072463768116,train
38,272,0.9855072463768116,train
39,272,0.9855072463768116,train
40,272,0.9855072463768116,train
41,272,0.9855072463768116,train
42,272,0.9855072463768116,train
43,272,0.9855072463768116,train
44,272,0.9855072463768116,train
45,272,0.9855072463768116,train
46,272,0.9855072463768116,train
47,272,0.9855072463768116,train
48,272,0.9855072463768116,train
49,272,0.9855072463768116,train
50,272,0.9855072463768116,train
51,272,0.9855072463768116,train
52,272,0.9855072463768116,train
53,272,0.9855072463768116,train
54,272,0.9855072463768116,train
55,272,0.9855072463768116,train
56,272,0.9855072463768116,train
57,272,0.9855072463768116,train
58,272,0.9855072463768116,train
59,272,0.9855072463768116,train
60,272,0.9855072463768116,train
61,272,0.9855072463768116,train
62,272,0.9855072463768116,train
63,272,0.9855072463768116,train
64,272,0.9855072463768116,train
65,272,0.9855072463768116,train
66,272,0.9855072463768116,train
67,272,0.9855072463768116,train
68,272,0.9855072463768116,train
69,272,0.9855072463768116,train
70,272,0.9855072463768116,train
71,272,0.9855072463768116,train
72,272,0.9855072463768116,train
73,272,0.9855072463768116,train
74,272,0.9855072463768116,train
75,272,0.9855072463768116,train
76,272,0.9855072463768116,train
77,272,0.9855072463768116,train
78,272,0.9855072463768116,train
79,272,0.9855072463768116,train
80,272,0.9855072463768116,train
81,272,0.9855072463768116,train
82,272,0.9855072463768116,train
83,272,0.9855072463768116,train
84,272,0.9855072463768116,train
85,272,0.9855072463768116,train
86,272,0.9855072463768116,train
87,272,0.9855072463768116,train
88,272,0.9855072463768116,train
89,272,0.9855072463768116,train
90,272,0.9855072463768116,train
91,272,0.9855072463768116,train
92,272,0.9855072463768116,train
93,272,0.9855072463768116,train
94,272,0.9855072463768116,train
95,272,0.9855072463768116,train
96,272,0.9855072463768116,train
97,272,0.9855072463768116,train
98,273,0.9891304347826086,train
99,273,0.9891304347826086,train
100,273,0.9891304347826086,train
101,273,0.9891304347826086,train
102,273,0.9891304347826086,train
103,273,0.9891304347826086,train
104,273,0.9891304347826086,train
105,274,0.9927536231884058,train
106,274,0.9927536231884058,train
107,274,0.9927536231884058,train
108,275,0.9963768115942029,train
109,275,0.9963768115942029,train
110,275,0.9963768115942029,train
111,275,0.9963768115942029,train
112,275,0.9963768115942029,train
113,275,0.9963768115942029,train
114,275,0.9963768115942029,train
115,275,0.9963768115942029,train
116,275,0.9963768115942029,train
117,275,0.9963768115942029,train
118,276,1.0,train
119,276,1.0,train
120,276,1.0,train
121,276,1.0,train
122,276,1.0,train
123,276,1.0,train
124,276,1.0,train
125,276,1.0,train
126,276,1.0,train
127,276,1.0,train
128,276,1.0,train
129,276,1.0,train
130,276,1.0,train
131,276,1.0,train
132,276,1.0,train
133,276,1.0,train
134,276,1.0,train
135,276,1.0,train
136,276,1.0,train
137,276,1.0,train
138,276,1.0,train
139,276,1.0,train
140,276,1.0,train
141,276,1.0,train
142,276,1.0,train
143,276,1.0,train
144,276,1.0,train
145,276,1.0,train
146,276,1.0,train
147,276,1.0,train
148,276,1.0,train
149,276,1.0,train
150,276,1.0,train
151,276,1.0,train
152,276,1.0,train
153,276,1.0,train
154,276,1.0,train
155,276,1.0,train
156,276,1.0,train
157,276,1.0,train
158,276,1.0,train
159,276,1.0,train
160,276,1.0,train
161,276,1.0,train
162,276,1.0,train
163,276,1.0,train
164,276,1.0,train
165,276,1.0,train
166,276,1.0,train
167,276,1.0,train
168,276,1.0,train
169,276,1.0,train
170,276,1.0,train
171,276,1.0,train
172,276,1.0,train
173,276,1.0,train
174,276,1.0,train
175,276,1.0,train
176,276,1.0,train
177,276,1.0,train
178,276,1.0,train
179,276,1.0,train
180,276,1.0,train
181,276,1.0,train
182,276,1.0,train
183,276,1.0,train
184,276,1.0,train
1,41,0.5466666666666666,test
2,44,0.5866666666666667,test
3,49,0.6533333333333333,test
4,52,0.6933333333333334,test
5,54,0.72,test
6,55,0.7333333333333333,test
7,57,0.76,test
8,58,0.7733333333333333,test
9,59,0.7866666666666666,test
