rank,count,frequency,subset
1,230,1.0,train
2,230,1.0,train
3,230,1.0,train
4,230,1.0,train
5,230,1.0,train
6,230,1.0,train
7,230,1.0,train
8,230,1.0,train
9,230,1.0,train
10,230,1.0,train
11,230,1.0,train
12,230,1.0,train
13,230,1.0,train
14,230,1.0,train
15,230,1.0,train
16,230,1.0,train
17,230,1.0,train
18,230,1.0,train
19,230,1.0,train
20,230,1.0,train
21,230,1.0,train
22,230,1.0,train
23,230,1.0,train
24,230,1.0,train
25,230,1.0,train
26,230,1.0,train
27,230,1.0,train
28,230,1.0,train
29,230,1.0,train
30,230,1.0,train
31,230,1.0,train
32,230,1.0,train
33,230,1.0,train
34,230,1.0,train
35,230,1.0,train
36,230,1.0,train
37,230,1.0,train
38,230,1.0,train
39,230,1.0,train
40,230,1.0,train
41,230,1.0,train
42,230,1.0,train
43,230,1.0,train
44,230,1.0,train
45,230,1.0,train
46,230,1.0,train
47,230,1.0,train
48,230,1.0,train
49,230,1.0,train
50,230,1.0,train
51,230,1.0,train
52,230,1.0,train
53,230,1.0,train
54,230,1.0,train
55,230,1.0,train
56,230,1.0,train
57,230,1.0,train
58,230,1.0,train
59,230,1.0,train
60,230,1.0,train
61,230,1.0,train
62,230,1.0,train
63,230,1.0,train
64,230,1.0,train
65,230,1.0,train
66,230,1.0,train
67,230,1.0,train
68,230,1.0,train
69,230,1.0,train
70,230,1.0,train
71,230,1.0,train
72,230,1.0,train
73,230,1.0,train
74,230,1.0,train
75,230,1.0,train
76,230,1.0,train
77,230,1.0,train
78,230,1.0,train
79,230,1.0,train
80,230,1.0,train
81,230,1.0,train
82,230,1.0,train
83,230,1.0,train
84,230,1.0,train
85,230,1.0,train
86,230,1.0,train
87,230,1.0,train
88,230,1.0,train
89,230,1.0,train
90,230,1.0,train
91,230,1.0,train
92,230,1.0,train
93,230,1.0,train
94,230,1.0,train
95,230,1.0,train
96,230,1.0,train
97,230,1.0,train
98,230,1.0,train
99,230,1.0,train
100,230,1.0,train
101,230,1.0,train
102,230,1.0,train
103,230,1.0,train
104,230,1.0,train
105,230,1.0,train
106,230,1.0,train
107,230,1.0,train
108,230,1.0,train
109,230,1.0,train
110,230,1.0,train
111,230,1.0,train
112,230,1.0,train
113,230,1.0,train
114,230,1.0,train
115,230,1.0,train
116,230,1.0,train
117,230,1.0,train
1,33,0.5,test
2,37,0.5606060606060606,test
3,42,0.6363636363636364,test
4,44,0.6666666666666666,test
5,45,0.6818181818181818,test
6,46,0.696969696969697,test
7,49,0.7424242424242424,test
8,49,0.7424242424242424,test
9,50,0.7575757575757576,test
10,51,0.7727272727272727,test
11,52,0.7878787878787878,test
12,52,0.7878787878787878,test
13,53,0.803030303030303,test
14,54,0.8181818181818182,test
15,54,0.8181818181818182,test
16,54,0.8181818181818182,test
17,54,0.8181818181818182,test
18,55,0.8333333333333334,test
19,57,0.8636363636363636,test
20,59,0.8939393939393939,test
21,59,0.8939393939393939,test
22,60,0.9090909090909091,test
23,60,0.9090909090909091,test
24,60,0.9090909090909091,test
25,60,0.9090909090909091,test
26,60,0.9090909090909091,test
27,61,0.9242424242424242,test
28,61,0.9242424242424242,test
29,61,0.9242424242424242,test
30,61,0.9242424242424242,test
31,61,0.9242424242424242,test
32,62,0.9393939393939394,test
33,62,0.9393939393939394,test
34,62,0.9393939393939394,test
35,62,0.9393939393939394,test
36,63,0.9545454545454546,test
37,64,0.9696969696969697,test
38,64,0.9696969696969697,test
39,64,0.9696969696969697,test
40,64,0.9696969696969697,test
41,64,0.9696969696969697,test
42,64,0.9696969696969697,test
43,64,0.9696969696969697,test
44,64,0.9696969696969697,test
45,64,0.9696969696969697,test
46,65,0.9848484848484849,test
47,65,0.9848484848484849,test
48,65,0.9848484848484849,test
49,65,0.9848484848484849,test
50,65,0.9848484848484849,test
51,65,0.9848484848484849,test
52,65,0.9848484848484849,test
53,65,0.9848484848484849,test
54,65,0.9848484848484849,test
55,65,0.9848484848484849,test
56,65,0.9848484848484849,test
57,65,0.9848484848484849,test
58,66,1.0,test
59,66,1.0,test
60,66,1.0,test
61,66,1.0,test
62,66,1.0,test
63,66,1.0,test
64,66,1.0,test
65,66,1.0,test
66,66,1.0,test
67,66,1.0,test
68,66,1.0,test
69,66,1.0,test
70,66,1.0,test
71,66,1.0,test
72,66,1.0,test
73,66,1.0,test
74,66,1.0,test
75,66,1.0,test
76,66,1.0,test
77,66,1.0,test
78,66,1.0,test
79,66,1.0,test
80,66,1.0,test
81,66,1.0,test
82,66,1.0,test
83,66,1.0,test
84,66,1.0,test
85,66,1.0,test
86,66,1.0,test
87,66,1.0,test
88,66,1.0,test
89,66,1.0,test
90,66,1.0,test
91,66,1.0,test
92,66,1.0,test
93,66,1.0,test
94,66,1.0,test
95,66,1.0,test
96,66,1.0,test
97,66,1.0,test
98,66,1.0,test
99,66,1.0,test
100,66,1.0,test
101,66,1.0,test
102,66,1.0,test
103,66,1.0,test
104,66,1.0,test
105,66,1.0,test
106,66,1.0,test
107,66,1.0,test
108,66,1.0,test
109,66,1.0,test
110,66,1.0,test
111,66,1.0,test
112,66,1.0,test
113,66,1.0,test
114,66,1.0,test
115,66,1.0,test
116,66,1.0,test
117,66,1.0,test
