epoch,subset,total_cases,rank1,rank2,rank5,rank
165,train,230,113,145,177,207
165,test,66,19,22,29,36
170,train,230,116,152,189,209
170,test,66,20,24,29,37
175,train,230,130,161,191,208
175,test,66,19,25,32,39
180,train,230,118,157,190,209
180,test,66,16,22,30,36
0,train,230,143,173,199,216
0,test,66,14,19,26,33
5,train,230,145,171,200,210
5,test,66,18,25,33,39
10,train,230,146,171,206,220
10,test,66,20,26,35,39
15,train,230,127,164,197,216
15,test,66,19,21,32,38
20,train,230,146,172,207,214
20,test,66,16,24,30,37
25,train,230,156,181,209,221
25,test,66,12,20,30,38
30,train,230,140,168,200,217
30,test,66,18,24,32,36
35,train,230,150,190,212,220
35,test,66,23,29,37,43
40,train,230,155,174,208,224
40,test,66,18,22,31,38
45,train,230,136,170,202,217
45,test,66,20,25,33,40
50,train,230,147,172,204,220
50,test,66,20,25,29,37
55,train,230,139,167,206,222
55,test,66,17,24,31,34
60,train,230,144,170,201,217
60,test,66,28,32,36,37
65,train,230,143,179,203,217
65,test,66,26,31,34,40
70,train,230,141,178,206,220
70,test,66,24,29,32,37
75,train,230,146,176,206,219
75,test,66,22,26,34,41
80,train,230,155,189,212,218
80,test,66,21,27,35,38
85,train,230,158,184,210,221
85,test,66,20,26,30,37
90,train,230,165,190,215,223
90,test,66,19,28,35,36
95,train,230,153,176,205,221
95,test,66,16,21,32,38
100,train,230,171,198,221,228
100,test,66,20,24,34,38
105,train,230,159,186,214,222
105,test,66,21,24,30,36
110,train,230,168,192,215,225
110,test,66,23,30,34,38
115,train,230,155,188,216,227
115,test,66,23,29,33,39
120,train,230,151,187,210,223
120,test,66,23,30,36,40
125,train,230,157,187,215,222
125,test,66,23,29,35,43
130,train,230,158,181,211,219
130,test,66,14,23,30,38
135,train,230,160,188,214,223
135,test,66,21,25,34,40
140,train,230,170,196,215,227
140,test,66,19,29,33,38
145,train,230,168,187,211,223
145,test,66,25,29,33,39
150,train,230,167,191,217,226
150,test,66,21,28,31,38
155,train,230,160,185,212,221
155,test,66,22,28,34,38
160,train,230,164,193,213,221
160,test,66,22,30,34,39
0,train,230,165,193,212,223
0,test,66,23,28,32,36
5,train,230,157,182,208,221
5,test,66,24,30,35,40
10,train,230,174,199,216,224
10,test,66,27,28,34,37
15,train,230,176,199,216,223
15,test,66,23,27,34,42
20,train,230,160,189,215,223
20,test,66,25,28,36,40
25,train,230,172,197,218,224
25,test,66,23,27,34,38
30,train,230,163,183,214,223
