epoch,subset,total_cases,rank1,rank2,rank5,rank
0,train,296,0,0,6,11
5,train,296,10,18,44,79
10,train,296,9,18,45,81
15,train,296,9,18,45,83
20,train,296,10,19,45,83
25,train,296,10,19,45,83
30,train,296,10,19,45,83
0,train,296,10,19,45,83
5,train,296,10,19,45,83
10,train,296,10,19,45,83
15,train,296,10,18,45,83
0,train,363,4,9,11,15
5,train,363,10,19,46,81
10,train,363,19,32,60,91
15,train,363,35,48,83,116
20,train,363,35,46,87,129
25,train,363,33,54,91,134
30,train,363,56,77,117,157
35,train,363,59,76,125,157
40,train,363,66,91,135,170
45,train,363,74,103,152,199
50,train,363,75,113,158,195
55,train,363,104,133,163,200
60,train,363,99,129,175,214
65,train,363,114,145,192,224
70,train,363,127,168,217,269
75,train,363,133,181,232,270
80,train,363,158,197,255,282
85,train,363,174,204,252,285
90,train,363,183,222,272,294
95,train,363,197,230,282,309
100,train,363,202,249,292,318
105,train,363,206,259,300,323
110,train,363,239,273,309,339
115,train,363,226,269,311,340
120,train,363,257,298,331,348
125,train,363,239,289,325,340
130,train,363,260,309,339,353
135,train,363,255,288,329,350
140,train,363,279,313,345,356
145,train,363,301,323,339,351
150,train,363,305,332,346,357
155,train,363,302,320,340,354
160,train,363,300,330,351,357
165,train,363,309,332,351,359
170,train,363,311,340,353,356
175,train,363,309,334,353,360
180,train,363,327,346,357,361
185,train,363,322,342,355,360
190,train,363,339,353,359,362
195,train,363,330,349,362,362
200,train,363,340,353,360,362
205,train,363,346,356,362,362
0,train,363,301,325,345,353
5,train,363,294,325,347,356
10,train,363,320,336,353,356
15,train,363,310,337,355,358
20,train,363,318,342,356,362
25,train,363,329,350,358,361
30,train,363,323,340,356,362
35,train,363,337,348,359,362
40,train,363,325,339,354,360
45,train,363,331,347,356,361
50,train,363,328,348,358,363
55,train,363,332,354,359,361
60,train,363,348,356,361,362
65,train,363,338,354,361,362
70,train,363,349,354,361,362
75,train,363,345,354,359,360
80,train,363,350,357,360,362
85,train,363,338,350,357,361
90,train,363,345,358,362,363
95,train,363,351,357,360,362
100,train,363,341,356,362,362
105,train,363,336,351,360,361
110,train,363,342,357,360,363
115,train,363,350,360,362,363
120,train,363,353,357,362,362
125,train,363,352,358,361,361
130,train,363,350,359,363,363
135,train,363,350,361,363,363
140,train,363,351,357,362,363
145,train,363,352,359,361,363
150,train,363,352,360,362,363
0,train,363,258,310,341,354
5,train,363,288,315,339,352
10,train,363,299,327,349,356
15,train,363,296,321,344,354
20,train,363,288,318,345,355
25,train,363,285,323,352,359
30,train,363,293,318,342,353
35,train,363,289,319,349,355
40,train,363,307,334,353,361
45,train,363,293,329,345,354
50,train,363,307,333,357,359
55,train,363,312,338,355,360
60,train,363,313,337,347,352
65,train,363,314,337,353,360
70,train,363,316,345,359,362
75,train,363,324,345,356,360
80,train,363,314,340,354,360
85,train,363,320,338,350,357
90,train,363,306,335,356,360
95,train,363,319,340,358,360
100,train,363,329,349,358,361
105,train,363,324,349,358,361
110,train,363,333,353,359,361
115,train,363,330,351,362,363
120,train,363,331,349,357,361
125,train,363,329,346,355,361
130,train,363,334,349,359,361
135,train,363,333,352,360,361
140,train,363,335,356,361,362
145,train,363,333,352,361,362
150,train,363,334,351,359,361
155,train,363,335,355,362,362
160,train,363,339,354,360,363
165,train,363,331,354,359,363
170,train,363,326,345,356,359
175,train,363,328,348,359,360
180,train,363,337,356,362,362
185,train,363,338,350,361,363
190,train,363,336,352,362,363
195,train,363,345,356,361,362
200,train,363,347,359,363,363
205,train,363,331,350,360,362
210,train,363,349,359,362,363
215,train,363,342,357,361,362
220,train,363,344,357,363,363
225,train,363,344,358,360,361
230,train,363,345,355,361,361
235,train,363,342,357,361,361
240,train,363,340,359,362,363
245,train,363,346,358,360,363
250,train,363,343,358,362,363
255,train,363,351,355,361,361
260,train,363,344,355,361,363
265,train,363,344,354,360,362
270,train,363,347,357,362,363
275,train,363,346,356,362,363
280,train,363,347,354,359,361
285,train,363,349,356,359,362
290,train,363,352,362,362,363
295,train,363,348,357,359,362
300,train,363,347,357,361,363
305,train,363,354,360,362,362
310,train,363,350,358,362,363
315,train,363,346,359,361,362
320,train,363,354,357,362,363
325,train,363,345,361,362,362
330,train,363,337,354,361,363
335,train,363,352,360,363,363
340,train,363,343,359,362,362
345,train,363,349,359,361,362
350,train,363,351,361,361,362
355,train,363,343,357,362,363
360,train,363,355,361,362,362
365,train,363,353,361,363,363
370,train,363,346,357,362,363
375,train,363,342,356,362,363
380,train,363,349,356,361,363
385,train,363,347,361,363,363
390,train,363,354,361,363,363
395,train,363,352,357,361,362
400,train,363,352,359,362,363
405,train,363,348,360,362,363
410,train,363,355,359,362,363
