amphibian dataset (classes=185, train_cases=307, test_cases=126 (29.1%), total_cases=433)
train dataset results:
rank,count,frequency
1,305,1.6486486486486487
2,306,1.654054054054054
3,306,1.654054054054054
4,306,1.654054054054054
5,306,1.654054054054054
6,306,1.654054054054054
7,306,1.654054054054054
8,306,1.654054054054054
9,306,1.654054054054054
10,306,1.654054054054054
11,306,1.654054054054054
12,306,1.654054054054054
13,306,1.654054054054054
14,307,1.6594594594594594
15,307,1.6594594594594594
16,307,1.6594594594594594
17,307,1.6594594594594594
18,307,1.6594594594594594
19,307,1.6594594594594594
20,307,1.6594594594594594
21,307,1.6594594594594594
22,307,1.6594594594594594
23,307,1.6594594594594594
24,307,1.6594594594594594
25,307,1.6594594594594594
26,307,1.6594594594594594
27,307,1.6594594594594594
28,307,1.6594594594594594
29,307,1.6594594594594594
30,307,1.6594594594594594
31,307,1.6594594594594594
32,307,1.6594594594594594
33,307,1.6594594594594594
34,307,1.6594594594594594
35,307,1.6594594594594594
36,307,1.6594594594594594
37,307,1.6594594594594594
38,307,1.6594594594594594
39,307,1.6594594594594594
40,307,1.6594594594594594
41,307,1.6594594594594594
42,307,1.6594594594594594
43,307,1.6594594594594594
44,307,1.6594594594594594
45,307,1.6594594594594594
46,307,1.6594594594594594
47,307,1.6594594594594594
48,307,1.6594594594594594
49,307,1.6594594594594594
50,307,1.6594594594594594
51,307,1.6594594594594594
52,307,1.6594594594594594
53,307,1.6594594594594594
54,307,1.6594594594594594
55,307,1.6594594594594594
56,307,1.6594594594594594
57,307,1.6594594594594594
58,307,1.6594594594594594
59,307,1.6594594594594594
60,307,1.6594594594594594
61,307,1.6594594594594594
62,307,1.6594594594594594
63,307,1.6594594594594594
64,307,1.6594594594594594
65,307,1.6594594594594594
66,307,1.6594594594594594
67,307,1.6594594594594594
68,307,1.6594594594594594
69,307,1.6594594594594594
70,307,1.6594594594594594
71,307,1.6594594594594594
72,307,1.6594594594594594
73,307,1.6594594594594594
74,307,1.6594594594594594
75,307,1.6594594594594594
76,307,1.6594594594594594
77,307,1.6594594594594594
78,307,1.6594594594594594
79,307,1.6594594594594594
80,307,1.6594594594594594
81,307,1.6594594594594594
82,307,1.6594594594594594
83,307,1.6594594594594594
84,307,1.6594594594594594
85,307,1.6594594594594594
86,307,1.6594594594594594
87,307,1.6594594594594594
88,307,1.6594594594594594
89,307,1.6594594594594594
90,307,1.6594594594594594
91,307,1.6594594594594594
92,307,1.6594594594594594
93,307,1.6594594594594594
94,307,1.6594594594594594
95,307,1.6594594594594594
96,307,1.6594594594594594
97,307,1.6594594594594594
98,307,1.6594594594594594
99,307,1.6594594594594594
100,307,1.6594594594594594
101,307,1.6594594594594594
102,307,1.6594594594594594
103,307,1.6594594594594594
104,307,1.6594594594594594
105,307,1.6594594594594594
106,307,1.6594594594594594
107,307,1.6594594594594594
108,307,1.6594594594594594
109,307,1.6594594594594594
110,307,1.6594594594594594
111,307,1.6594594594594594
112,307,1.6594594594594594
113,307,1.6594594594594594
114,307,1.6594594594594594
115,307,1.6594594594594594
116,307,1.6594594594594594
117,307,1.6594594594594594
118,307,1.6594594594594594
119,307,1.6594594594594594
120,307,1.6594594594594594
121,307,1.6594594594594594
122,307,1.6594594594594594
123,307,1.6594594594594594
124,307,1.6594594594594594
125,307,1.6594594594594594
126,307,1.6594594594594594
127,307,1.6594594594594594
128,307,1.6594594594594594
129,307,1.6594594594594594
130,307,1.6594594594594594
131,307,1.6594594594594594
132,307,1.6594594594594594
133,307,1.6594594594594594
134,307,1.6594594594594594
135,307,1.6594594594594594
136,307,1.6594594594594594
137,307,1.6594594594594594
138,307,1.6594594594594594
139,307,1.6594594594594594
140,307,1.6594594594594594
141,307,1.6594594594594594
142,307,1.6594594594594594
143,307,1.6594594594594594
144,307,1.6594594594594594
145,307,1.6594594594594594
146,307,1.6594594594594594
147,307,1.6594594594594594
148,307,1.6594594594594594
149,307,1.6594594594594594
150,307,1.6594594594594594
151,307,1.6594594594594594
152,307,1.6594594594594594
153,307,1.6594594594594594
154,307,1.6594594594594594
155,307,1.6594594594594594
156,307,1.6594594594594594
157,307,1.6594594594594594
158,307,1.6594594594594594
159,307,1.6594594594594594
160,307,1.6594594594594594
161,307,1.6594594594594594
162,307,1.6594594594594594
163,307,1.6594594594594594
164,307,1.6594594594594594
165,307,1.6594594594594594
166,307,1.6594594594594594
167,307,1.6594594594594594
168,307,1.6594594594594594
169,307,1.6594594594594594
170,307,1.6594594594594594
171,307,1.6594594594594594
172,307,1.6594594594594594
173,307,1.6594594594594594
174,307,1.6594594594594594
175,307,1.6594594594594594
176,307,1.6594594594594594
177,307,1.6594594594594594
178,307,1.6594594594594594
179,307,1.6594594594594594
180,307,1.6594594594594594
181,307,1.6594594594594594
182,307,1.6594594594594594
183,307,1.6594594594594594
184,307,1.6594594594594594
test dataset results:
rank,count,frequency
1,76,0.41081081081081083
2,85,0.4594594594594595
3,87,0.4702702702702703
4,92,0.4972972972972973
5,94,0.5081081081081081
6,94,0.5081081081081081
7,98,0.5297297297297298
8,103,0.5567567567567567
9,103,0.5567567567567567
10,104,0.5621621621621622
11,104,0.5621621621621622
12,105,0.5675675675675675
13,106,0.572972972972973
14,108,0.5837837837837838
15,108,0.5837837837837838
16,108,0.5837837837837838
17,108,0.5837837837837838
18,108,0.5837837837837838
19,108,0.5837837837837838
20,109,0.5891891891891892
21,109,0.5891891891891892
22,109,0.5891891891891892
23,111,0.6
24,112,0.6054054054054054
25,112,0.6054054054054054
26,112,0.6054054054054054
27,112,0.6054054054054054
