epoch,subset,total_cases,rank1,rank2,rank5,rank
165,test,126,22,35,46,58
170,train,307,291,300,307,307
170,test,126,26,33,45,59
175,train,307,300,304,306,306
175,test,126,25,34,49,58
180,train,307,296,303,305,307
180,test,126,28,33,45,56
185,train,307,293,302,306,307
185,test,126,18,32,43,54
190,train,307,292,302,304,305
190,test,126,21,33,48,58
195,train,307,297,300,304,305
195,test,126,22,33,44,57
200,train,307,298,305,306,307
200,test,126,25,34,47,57
205,train,307,297,304,306,306
205,test,126,26,33,50,63
210,train,307,287,300,302,305
210,test,126,23,30,44,57
215,train,307,293,298,306,307
215,test,126,22,31,49,59
220,train,307,300,305,307,307
220,test,126,22,29,45,59
225,train,307,296,304,307,307
225,test,126,26,40,49,62
230,train,307,297,304,305,305
230,test,126,20,38,48,59
235,train,307,297,304,306,306
235,test,126,23,32,46,60
240,train,307,300,304,306,306
240,test,126,26,35,49,66
245,train,307,294,301,303,307
245,test,126,26,34,45,60
250,train,307,293,300,302,305
250,test,126,27,32,45,63
255,train,307,301,303,306,306
255,test,126,25,32,44,59
260,train,307,298,303,307,307
260,test,126,24,36,47,62
265,train,307,297,298,305,307
265,test,126,24,32,43,60
270,train,307,295,301,305,307
270,test,126,20,32,43,59
275,train,307,296,303,306,307
275,test,126,25,36,45,62
280,train,307,296,303,307,307
280,test,126,25,34,46,56
285,train,307,295,300,307,307
285,test,126,23,28,40,51
290,train,307,297,304,307,307
290,test,126,19,24,39,56
295,train,307,297,303,305,307
295,test,126,23,34,49,59
300,train,307,295,301,304,305
300,test,126,25,32,45,65
305,train,307,296,304,306,307
305,test,126,28,40,57,65
310,train,307,299,302,307,307
310,test,126,29,38,50,63
315,train,307,294,301,307,307
315,test,126,27,33,44,54
320,train,307,298,300,305,306
320,test,126,21,29,47,63
325,train,307,301,306,307,307
325,test,126,21,32,43,55
330,train,307,295,302,305,306
330,test,126,21,29,42,52
335,train,307,300,306,307,307
335,test,126,21,34,54,65
0,train,307,177,207,241,257
0,test,126,22,34,46,59
5,train,307,189,216,250,270
5,test,126,23,30,49,61
10,train,307,194,211,244,269
10,test,126,31,39,52,68
15,train,307,199,237,267,282
15,test,126,26,32,48,68
20,train,307,212,236,259,278
20,test,126,24,30,48,62
25,train,307,210,238,261,281
25,test,126,29,38,54,68
30,train,307,220,247,268,279
30,test,126,25,34,47,66
35,train,307,218,248,269,279
35,test,126,31,42,62,71
40,train,307,214,246,278,292
40,test,126,33,39,55,69
45,train,307,207,235,270,288
45,test,126,28,39,51,64
50,train,307,235,257,276,291
50,test,126,23,34,51,65
55,train,307,211,236,261,278
55,test,126,36,44,57,68
0,train,307,151,172,209,233
0,test,126,31,43,53,61
5,train,307,162,189,227,246
